Agency Name,Latitude,Longitude,Contact,Phone,Program Type,Address,City,State,ZIP Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
New Haven SDA Church,40.674739,-73.955807,Irma Hillaire,347-421-8664,Soup Kitchen,634 Prospect Place,Brooklyn,NY,11216,closed,closed,closed,closed,closed,closed,11:00 AM - 02:00 PM
More Grace Redemptive Center Inc.,40.819606,-73.903033,Felicia Udo-Okon,718-861-5678,Pantry,830 Union Ave,Bronx,NY,10455,closed,closed,closed,11:00 AM - 04:00 PM,closed,10:00 AM - 04:00 PM,closed
Faith Apostolic Gospel Temple,40.885463,-73.854777,Ray Belanfante/7/1-ro- Pastor Audrie Belafonte,718-882-6717,Pantry,3956 Bronxwood Avenue,Bronx,NY,10466,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM/ro-7/1-9am-2pm,closed
St. Luke's Senior Community Program,40.885013,-73.858979,Colleen Lundy,718-882-3131,Pantry,777 East 222nd Street,Bronx,NY,10467,closed,closed,09:00 AM - 11:00 AM,closed,closed,closed,closed
St. Luke's Senior Community Program,40.885013,-73.858979,Colleen Lundy,718-882-3131,Soup Kitchen,777 East 222nd Street,Bronx,NY,10467,8am-4pm,8am-4pm,8am-4pm,8:00am-4pm,8am-4pm,closed,closed
Inspirational Gospel Assembly,40.83143,-73.909221,Steve Darkwah,718-640-7800; 347-272-0596,Pantry,1211 Brook Avenue,Bronx,NY,10456,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed
Grace Reformed Church of Flatbush,40.661714,-73.9572,Don-Marie,347-249-8711,Soup Kitchen,1800 Bedford Avenue,Brooklyn,NY,11225,closed,closed,closed,closed,closed,11:00 AM - 01:00 PM,closed
New Life Holiness Caring Hands Food Pantry,40.89769,-73.851764,Winston Johnson,917-557-2228,Pantry,4401 Barnes Avenue,Bronx,NY,10466,closed,closed,closed,closed,closed,09:30 AM - 12:30 PM,closed
Worldwide Movement Father Son and the Holy Spirit,40.849212,-73.890724,Rev. Casimiro Peralta,347-272-9533,Pantry,625 East 180th Street,Bronx,NY,10457,closed,closed,closed,closed,closed,09:00 AM - 11:00 PM,closed
Bethel Community Outreach,40.685872,-73.944556,Shawn Monestine,917-334-9905,Pantry,344 Tompkins Avenue,Brooklyn,NY,11216,closed,07:00 PM - 09:00 PM,closed,closed,07:00 PM - 09:00 PM,closed,closed
The Voices of Hagar,40.756755,-73.872443,Sonya Harvey,917-941-5809,Pantry,95-18 Northern Blvd,Jackson Heights,NY,11372,-,10:00 AM - 12:00 PM,-,-,-,-,-
Christ Apostolic Church WOSEM,40.855565,-73.894167,Reverand Joseph Famuyide,516-330-1146,Pantry,442 East 183rd Street,Bronx,NY,10458,closed,closed,08:00 PM - 08:30 PM/RO-5/28-6PM-7PM,closed,closed,closed,closed
Whosoever Will Baptist Church,40.849287,-73.920938,Anthony Quarles,347-528-0013,Pantry,1651 Popham Avenue,Bronx,NY,10453,closed,closed,closed,closed,closed,09:00 AM - 11:00 AM/RO-5/28-8:30-10:30am,closed
ICNA Relief USA,40.704506,-73.811671,Isaac Alpar,718-658-7028,Pantry,87-91 144th Street,Jamaica,NY,11435,By Appointment,By Appointment,By Appointment,11:00 AM - 01:00 PM,By Appointment,Closed,closed
Power Praise and Deliverance Inc.,40.859615,-73.900433,Pastor Albert Jackson,347-409-0288,Pantry,120 East 184th Street,Bronx,NY,10468,closed,closed,closed,closed,12:00 PM - 04:00 PM,closed,closed
Peniel SDA Church,40.643045,-73.929756,Sameson Louis,347-866-3102,Pantry,1210 Utica Avenue,Brooklyn,NY,11203,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed,closed
Bright Temple AME Church,40.817184,-73.886957,Cheryl Ware,347-653-6839,Pantry,812 Faile Street,Bronx,NY,10474,closed,closed,closed,closed,10:00 AM - 12:00 PM (First & Third Friday of the month),closed,closed
More Grace Redemptive Center Inc.,40.650166,-73.95465,Terry Smith,212-423-7127,Pantry,11 Woods Place,Brooklyn,NY,11226,closed,11:00 AM - 01:00 PM,closed,closed,closed,closed,closed
International Pentecostal,40.65387,-73.918019,Muriel Keel,516-817-7922,Pantry,9202-14 Church Avenue,Brooklyn,NY,11236,closed,closed,closed,closed,closed,11:00 AM - 02:00 PM,closed
The Grace Of God Ministries Church Inc,40.89103,-73.849425,Idowu Olojede,347-697-7843,Pantry,963 East 233rd Street,Bronx,NY,10466,closed,closed,closed,closed,closed,9:00 AM - 10:00 AM,closed
